rosbagTimestamp,data
1607615268918034597,0
1607615268951375318,0
1607615268980761292,0
1607615269011135121,0
1607615269041800474,0
1607615269072227904,0
1607615269103643316,0
1607615269134143387,0
1607615269164866533,0
1607615269195655600,0
1607615269225508653,0
1607615269257251078,0
1607615269287646059,0
1607615269318524439,0
1607615269347600457,0
1607615269379713767,0
1607615269409701670,0
1607615269439693381,0
1607615269471189179,0
1607615269501463902,0
1607615269532673744,0
1607615269562886066,0
1607615269593137461,0
1607615269624495144,0
1607615269655205298,0
1607615269685567447,0
1607615269715733496,0
1607615269746743239,0
1607615269776983241,0
1607615269809132681,0
1607615269840061206,0
1607615269869556909,0
1607615269900184566,0
1607615269932235412,0
1607615269962354869,0
1607615269993741481,0
1607615270024194959,0
1607615270053846377,0
1607615270084788374,0
1607615270114604339,0
1607615270145695106,0
1607615270176442701,0
1607615270208683533,0
1607615270238440809,0
1607615270268218021,0
1607615270299720763,0
1607615270331376051,0
1607615270361024557,0
1607615270391552340,0
1607615270423302125,0
1607615270453159242,0
1607615270483922645,0
1607615270514631647,0
1607615270544655263,0
1607615270576143188,0
1607615270606699036,0
1607615270636982399,0
1607615270667791434,0
1607615270697833386,0
1607615270729075996,0
1607615270758709718,0
1607615270797218868,0
1607615270823058197,0
1607615270854549451,0
1607615270882508748,0
1607615270912992690,0
1607615270944020993,0
1607615270973856958,0
1607615271005253490,0
1607615271035226001,0
1607615271067196366,0
1607615271097195277,0
1607615271126984169,0
1607615271157886774,0
1607615271188739810,0
1607615271220286488,0
1607615271250389881,0
1607615271280527067,0
1607615271312087153,-6
1607615271342707354,-14
1607615271374274129,-17
1607615271404203791,-18
1607615271434756183,-23
1607615271464681333,-28
1607615271495667395,-33
1607615271527212793,-36
1607615271557675296,-41
1607615271588567660,-46
1607615271618818831,-50
1607615271649723548,-54
1607615271681410229,-59
1607615271711202321,-64
1607615271743371921,-68
1607615271772710694,-72
1607615271803310318,-77
1607615271833237613,-82
1607615271865055751,-87
1607615271894655233,-91
1607615271926191063,-95
1607615271956962466,-100
1607615271988022449,-105
1607615272018965246,-108
1607615272048873788,-113
1607615272080041485,-118
1607615272110427955,-123
1607615272141528578,-126
1607615272172774260,-130
1607615272204379468,-136
1607615272233537983,-140
1607615272263157144,-143
1607615272294582285,-148
1607615272326099651,-153
1607615272357259700,-158
1607615272388079616,-162
1607615272418875883,-166
1607615272449362930,-171
1607615272480452769,-175
1607615272510518594,-179
1607615272541480207,-183
1607615272572491870,-187
1607615272602155448,-191
1607615272633711791,-196
1607615272663761871,-200
1607615272695484200,-204
1607615272725886062,-209
1607615272756767642,-213
1607615272787885130,-219
1607615272818737431,-224
1607615272848249583,-228
1607615272879671555,-233
1607615272911484862,-238
1607615272941286906,-243
1607615272971342843,-248
1607615273004142276,-254
1607615273033934048,-258
1607615273064145667,-263
1607615273095580216,-268
1607615273125387220,-273
1607615273157277648,-278
1607615273187710934,-283
1607615273218212477,-288
1607615273248816134,-293
1607615273278711140,-298
1607615273310235962,-303
1607615273340267354,-308
1607615273373582539,-313
1607615273403622411,-319
1607615273432684700,-324
1607615273463696395,-329
1607615273493595881,-334
1607615273524591383,-339
1607615273556745623,-343
1607615273586721494,-349
1607615273618212076,-355
1607615273648069929,-360
1607615273679414365,-365
1607615273709394332,-370
1607615273741226327,-376
1607615273770765392,-382
1607615273801938913,-387
1607615273832217412,-393
1607615273864318531,-399
1607615273894644296,-404
1607615273925409138,-408
1607615273955093613,-413
1607615273986264702,-418
1607615274016136092,-422
1607615274047441391,-424
1607615274078542207,-428
1607615274109912659,-433
1607615274139763888,-437
1607615274169913714,-440
1607615274201479785,-443
1607615274231269574,-447
1607615274263046624,-451
1607615274294211313,-455
1607615274324092366,-460
1607615274355616197,-463
1607615274385560835,-468
1607615274416374863,-472
1607615274447937382,-478
1607615274477919909,-482
1607615274509372891,-487
