rosbagTimestamp,iTOW,version,numSvs,reserved0,sv
1605257502863762914,18000,1,0,"[0, 0]",[]
1605257504864479646,20000,1,0,"[0, 0]",[]
1605257506865656423,22000,1,0,"[0, 0]",[]
1605257508865111609,24000,1,0,"[0, 0]",[]
1605257510865601352,26000,1,0,"[0, 0]",[]
1605257512863773213,28000,1,0,"[0, 0]",[]
1605257514864587475,30000,1,0,"[0, 0]",[]
1605257516864637940,32000,1,0,"[0, 0]",[]
1605257518863371010,34000,1,0,"[0, 0]",[]
1605257520864063152,36000,1,0,"[0, 0]",[]
1605257522864525974,38000,1,0,"[0, 0]",[]
1605257524864662706,40000,1,0,"[0, 0]",[]
1605257526863902310,42000,1,0,"[0, 0]",[]
1605257528864611667,44000,1,0,"[0, 0]",[]
1605257530863396637,46000,1,0,"[0, 0]",[]
1605257532864124852,48000,1,1,"[0, 0]",,2,1,0,-91,0,0,1
1605257534863711383,50000,1,1,"[0, 0]",,2,1,0,-91,0,0,1
1605257536865015268,52000,1,0,"[0, 0]",[]
1605257538864039266,54000,1,1,"[0, 0]",,2,1,0,-91,0,0,1
1605257540862583930,56000,1,0,"[0, 0]",[]
1605257542862543380,58000,1,0,"[0, 0]",[]
1605257544863705522,60000,1,0,"[0, 0]",[]
1605257546863210986,62000,1,0,"[0, 0]",[]
1605257548863807841,64000,1,0,"[0, 0]",[]
1605257550863422852,66000,1,1,"[0, 0]",,0,15,0,-91,0,0,1
1605257552862569517,68000,1,1,"[0, 0]",,0,15,0,-91,0,0,1
1605257554862515149,70000,1,1,"[0, 0]",,0,15,0,-91,0,0,1
1605257556862481159,72000,1,1,"[0, 0]",,0,15,0,-91,0,0,1
1605257558863887500,74000,1,1,"[0, 0]",,0,15,0,-91,0,0,1
1605257560863575637,76000,1,2,"[0, 0]",,0,15,0,-91,0,0,1,0,18,0,-91,0,0,1
1605257562863415597,78000,1,2,"[0, 0]",,0,15,0,-91,0,0,1,0,18,0,-91,0,0,1
1605257564863690991,80000,1,2,"[0, 0]",,0,15,0,-91,0,0,1,0,18,0,-91,0,0,1
1605257566863563872,82000,1,2,"[0, 0]",,0,15,0,-91,0,0,1,0,18,0,-91,0,0,1
1605257568865230604,84000,1,2,"[0, 0]",,0,15,0,-91,0,0,1,0,18,0,-91,0,0,1
1605257570864056977,86000,1,2,"[0, 0]",,0,15,0,-91,0,0,1,0,18,0,-91,0,0,1
1605257572864536428,88000,1,2,"[0, 0]",,0,15,0,-91,0,0,1,0,18,0,-91,0,0,1
1605257574862854612,90000,1,1,"[0, 0]",,0,18,0,-91,0,0,1
1605257576862887180,92000,1,1,"[0, 0]",,0,18,0,-91,0,0,1
1605257578863562521,94000,1,1,"[0, 0]",,0,18,0,-91,0,0,1
1605257580862460039,96000,1,0,"[0, 0]",[]
1605257582862902463,98000,1,0,"[0, 0]",[]
1605257584863035400,100000,1,0,"[0, 0]",[]
1605257586862337667,102000,1,0,"[0, 0]",[]
1605257588863409311,104000,1,0,"[0, 0]",[]
1605257590863009003,106000,1,0,"[0, 0]",[]
1605257592862927065,108000,1,0,"[0, 0]",[]
1605257594862052973,110000,1,0,"[0, 0]",[]
1605257596862485914,112000,1,0,"[0, 0]",[]
1605257598861908904,114000,1,0,"[0, 0]",[]
1605257600862476106,116000,1,0,"[0, 0]",[]
1605257602861660329,118000,1,0,"[0, 0]",[]
1605257604862034744,120000,1,0,"[0, 0]",[]
1605257606861396061,122000,1,0,"[0, 0]",[]
1605257608861430445,124000,1,0,"[0, 0]",[]
1605257610862530887,126000,1,0,"[0, 0]",[]
1605257612861599153,128000,1,0,"[0, 0]",[]
1605257614861793151,130000,1,0,"[0, 0]",[]
1605257616862820304,132000,1,0,"[0, 0]",[]
1605257618862503526,134000,1,0,"[0, 0]",[]
1605257620861799517,136000,1,0,"[0, 0]",[]
1605257622863606379,138000,1,0,"[0, 0]",[]
1605257624862028508,140000,1,0,"[0, 0]",[]
1605257626861883234,142000,1,0,"[0, 0]",[]
1605257628862247804,144000,1,0,"[0, 0]",[]
1605257630861719212,146000,1,0,"[0, 0]",[]
1605257632860925708,148000,1,0,"[0, 0]",[]
1605257634861038010,150000,1,0,"[0, 0]",[]
1605257636861498836,152000,1,0,"[0, 0]",[]
1605257638860936249,154000,1,0,"[0, 0]",[]
1605257640861278980,156000,1,0,"[0, 0]",[]
1605257642862335797,158000,1,0,"[0, 0]",[]
1605257644862244105,160000,1,0,"[0, 0]",[]
1605257646862117790,162000,1,0,"[0, 0]",[]
1605257648860893490,164000,1,0,"[0, 0]",[]
1605257650860824706,166000,1,0,"[0, 0]",[]
1605257652860768588,168000,1,0,"[0, 0]",[]
1605257654863227725,170000,1,0,"[0, 0]",[]
1605257656861408421,172000,1,0,"[0, 0]",[]
1605257658861934703,174000,1,0,"[0, 0]",[]
1605257660860856075,176000,1,1,"[0, 0]",,0,9,0,-91,0,0,1
1605257662860744950,178000,1,1,"[0, 0]",,0,9,0,-91,0,0,1
1605257664860906607,180000,1,1,"[0, 0]",,0,9,0,-91,0,0,1
1605257666861770355,182000,1,1,"[0, 0]",,0,9,0,-91,0,0,1
1605257668862371456,184000,1,0,"[0, 0]",[]
