rosbagTimestamp,iTOW,version,numSvs,reserved0,sv,-,gnssId,svId,cno,elev,azim,prRes,flags
1605259566328426603,465984300,1,1,"[0, 0]",,0,31,26,-91,0,0,6
1605259568329294146,465986300,1,1,"[0, 0]",,0,31,27,-91,0,0,6
1605259570328297824,465988300,1,1,"[0, 0]",,0,31,27,-91,0,0,6
1605259572328386708,465990300,1,2,"[0, 0]",,0,31,26,-91,0,0,6,6,255,0,-91,0,0,1
1605259574329146230,465992300,1,2,"[0, 0]",,0,31,26,-91,0,0,6,6,255,0,-91,0,0,1
1605259576328310883,465994300,1,2,"[0, 0]",,0,31,26,-91,0,0,6,6,255,0,-91,0,0,1
1605259578329577334,465996300,1,2,"[0, 0]",,0,31,26,-91,0,0,7,6,255,0,-91,0,0,1
1605259580328262405,465998300,1,2,"[0, 0]",,0,31,26,-91,0,0,7,6,255,0,-91,0,0,1
1605259582328733779,466000300,1,2,"[0, 0]",,0,31,26,-91,0,0,7,6,255,0,-91,0,0,1
1605259584328463450,466002300,1,1,"[0, 0]",,0,31,26,-91,0,0,2327
1605259586330475785,466004300,1,1,"[0, 0]",,0,31,26,-91,0,0,2327
1605259588328364828,466006300,1,1,"[0, 0]",,0,31,26,-91,0,0,2327
1605259590329254785,466008300,1,1,"[0, 0]",,0,31,25,-91,0,0,2327
1605259592330732404,466010300,1,1,"[0, 0]",,0,31,26,-91,0,0,2327
1605259594328727844,466012300,1,1,"[0, 0]",,0,31,26,-91,0,0,2324
1605259596328361104,466014300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259598330709934,466016300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259600329225061,466018300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259602329328939,466020300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259604328957925,466022300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259606329723890,466024300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259608328905776,466026300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259610330033692,466028300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259612328699291,466030300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259614328605483,466032300,1,2,"[0, 0]",,0,23,0,-91,0,0,1,0,31,26,-91,0,0,6420
1605259616330219178,466034300,1,2,"[0, 0]",,0,23,0,-91,0,0,1,0,31,24,-91,0,0,6420
1605259618328860027,466036300,1,2,"[0, 0]",,0,23,0,-91,0,0,1,0,31,22,-91,0,0,6420
1605259620329608826,466038300,1,2,"[0, 0]",,0,23,0,-91,0,0,1,0,31,21,-91,0,0,6420
1605259622328851177,466040300,1,2,"[0, 0]",,0,23,0,-91,0,0,1,0,31,21,-91,0,0,6420
1605259624328408774,466042300,1,2,"[0, 0]",,0,23,0,-91,0,0,1,0,31,21,-91,0,0,6420
1605259626328508370,466044300,1,2,"[0, 0]",,0,23,0,-91,0,0,1,0,31,21,-91,0,0,6420
1605259628328417164,466046300,1,3,"[0, 0]",,0,23,0,-91,0,0,1,0,31,21,-91,0,0,6420,2,3,0,-91,0,0,1
1605259630330529683,466048300,1,3,"[0, 0]",,0,23,0,-91,0,0,1,0,31,21,-91,0,0,6420,2,3,0,-91,0,0,1
1605259632328318695,466050300,1,2,"[0, 0]",,0,23,0,-91,0,0,1,0,31,21,-91,0,0,6420
1605259634331136712,466052300,1,2,"[0, 0]",,0,23,0,-91,0,0,1,0,31,21,-91,0,0,6420
1605259636328402932,466054300,1,2,"[0, 0]",,0,23,0,-91,0,0,1,0,31,21,-91,0,0,6420
1605259638328479021,466056300,1,1,"[0, 0]",,0,31,22,-91,0,0,6420
1605259640329663313,466058300,1,1,"[0, 0]",,0,31,22,-91,0,0,6420
1605259642328782943,466060300,1,1,"[0, 0]",,0,31,22,-91,0,0,6420
1605259644327895896,466062300,1,1,"[0, 0]",,0,31,22,-91,0,0,6420
1605259646329375676,466064300,1,1,"[0, 0]",,0,31,22,-91,0,0,6420
1605259648329211593,466066300,1,1,"[0, 0]",,0,31,22,-91,0,0,6420
1605259650327700447,466068300,1,1,"[0, 0]",,0,31,24,-91,0,0,6420
1605259652329220351,466070300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259654328363974,466072300,1,1,"[0, 0]",,0,31,27,-91,0,0,6420
1605259656328194773,466074300,1,1,"[0, 0]",,0,31,27,-91,0,0,6422
1605259658328018636,466076300,1,1,"[0, 0]",,0,31,26,-91,0,0,6422
1605259660328835147,466078300,1,1,"[0, 0]",,0,31,27,-91,0,0,6422
1605259662327495183,466080300,1,1,"[0, 0]",,0,31,27,-91,0,0,6423
1605259664329277500,466082300,1,1,"[0, 0]",,0,31,27,-91,0,0,6423
1605259666327390828,466084300,1,1,"[0, 0]",,0,31,27,-91,0,0,6423
1605259668328730661,466086300,1,1,"[0, 0]",,0,31,27,-91,0,0,6423
1605259670327538912,466088300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259672328452162,466090300,1,1,"[0, 0]",,0,31,27,-91,0,0,6423
1605259674328888360,466092300,1,1,"[0, 0]",,0,31,27,-91,0,0,6423
1605259676327887216,466094300,1,1,"[0, 0]",,0,31,27,-91,0,0,6423
1605259678328920351,466096300,1,1,"[0, 0]",,0,31,27,-91,0,0,6423
1605259680329310640,466098300,1,1,"[0, 0]",,0,31,27,-91,0,0,6423
1605259682328882595,466100300,1,1,"[0, 0]",,0,31,27,-91,0,0,6423
1605259684328280664,466102300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259686328596208,466104300,1,1,"[0, 0]",,0,31,27,-91,0,0,6423
1605259688328048361,466106300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259690328051044,466108300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259692328437345,466110300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259694327661308,466112300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259696327543193,466114300,1,1,"[0, 0]",,0,31,24,-91,0,0,6420
1605259698327290133,466116300,1,1,"[0, 0]",,0,31,23,-91,0,0,6420
1605259700327512753,466118300,1,1,"[0, 0]",,0,31,22,-91,0,0,6420
1605259702327298156,466120300,1,1,"[0, 0]",,0,31,23,-91,0,0,6420
1605259704328639880,466122300,1,2,"[0, 0]",,0,28,0,-91,0,0,1,0,31,22,-91,0,0,6420
1605259706328125535,466124300,1,2,"[0, 0]",,0,28,0,-91,0,0,1,0,31,21,-91,0,0,6420
1605259708328074101,466126300,1,2,"[0, 0]",,0,28,0,-91,0,0,1,0,31,20,-91,0,0,6420
1605259710327703208,466128300,1,2,"[0, 0]",,0,28,0,-91,0,0,1,0,31,21,-91,0,0,6420
1605259712328612571,466130300,1,1,"[0, 0]",,0,31,21,-91,0,0,6420
1605259714328548456,466132300,1,1,"[0, 0]",,0,31,21,-91,0,0,6420
1605259716327186992,466134300,1,1,"[0, 0]",,0,31,21,-91,0,0,6420
1605259718329813756,466136300,1,1,"[0, 0]",,0,31,21,-91,0,0,6420
1605259720328041882,466138300,1,1,"[0, 0]",,0,31,21,-91,0,0,6420
1605259722329187002,466140300,1,1,"[0, 0]",,0,31,21,-91,0,0,6420
1605259724328750162,466142300,1,1,"[0, 0]",,0,31,21,-91,0,0,6420
1605259726327215554,466144300,1,1,"[0, 0]",,0,31,22,-91,0,0,6420
1605259728329613493,466146300,1,1,"[0, 0]",,0,31,21,-91,0,0,6420
1605259730327272919,466148300,1,1,"[0, 0]",,0,31,21,-91,0,0,6420
1605259732327564665,466150300,1,1,"[0, 0]",,0,31,21,-91,0,0,6420
1605259734326923571,466152300,1,1,"[0, 0]",,0,31,21,-91,0,0,6420
1605259736327558408,466154300,1,1,"[0, 0]",,0,31,24,-91,0,0,6420
1605259738327308979,466156300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259740327291384,466158300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259742327008084,466160300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259744327433257,466162300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259746328333431,466164300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259748327251126,466166300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259750328059793,466168300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259752326877052,466170300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259754328164965,466172300,1,2,"[0, 0]",,0,18,0,-91,0,0,1,0,31,26,-91,0,0,6420
1605259756326651931,466174300,1,2,"[0, 0]",,0,18,0,-91,0,0,1,0,31,26,-91,0,0,6420
1605259758327610445,466176300,1,2,"[0, 0]",,0,18,0,-91,0,0,1,0,31,26,-91,0,0,6420
1605259760327003504,466178300,1,2,"[0, 0]",,0,18,0,-91,0,0,1,0,31,26,-91,0,0,6420
1605259762326882696,466180300,1,2,"[0, 0]",,0,18,18,-91,0,0,3,0,31,26,-91,0,0,6420
1605259764327322839,466182300,1,2,"[0, 0]",,0,18,11,-91,0,0,3,0,31,26,-91,0,0,6420
1605259766329729344,466184300,1,2,"[0, 0]",,0,18,8,-91,0,0,3,0,31,26,-91,0,0,6420
1605259768327153772,466186300,1,2,"[0, 0]",,0,18,10,-91,0,0,3,0,31,26,-91,0,0,6420
