rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,twist,twist,linear,x,y,z,angular,x,y,z,covariance
1605614900138834758,,9553,,1605614900,138130588,"""base_gps""",,,,-0.001,-0.008,0.008,,0.0,0.0,0.0,"[0.011881, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011881, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011881, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1605614900235083927,,9554,,1605614900,233254653,"""base_gps""",,,,-0.001,-0.001,0.004,,0.0,0.0,0.0,"[0.010816000000000003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010816000000000003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010816000000000003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1605614900338617071,,9555,,1605614900,338165256,"""base_gps""",,,,-0.004,-0.007,0.004,,0.0,0.0,0.0,"[0.011024999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011024999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011024999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1605614900437480485,,9556,,1605614900,436783291,"""base_gps""",,,,0.002,-0.01,0.006,,0.0,0.0,0.0,"[0.010000000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010000000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010000000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1605614900538687324,,9557,,1605614900,538218933,"""base_gps""",,,,-0.005,-0.007,0.007,,0.0,0.0,0.0,"[0.012321, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012321, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012321, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1605614900637275694,,9558,,1605614900,636699430,"""base_gps""",,,,-0.002,-0.003,0.003,,0.0,0.0,0.0,"[0.010201000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010201000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010201000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1605614900738309603,,9559,,1605614900,737384630,"""base_gps""",,,,-0.001,-0.005,0.004,,0.0,0.0,0.0,"[0.010816000000000003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010816000000000003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010816000000000003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1605614900837944964,,9560,,1605614900,835400352,"""base_gps""",,,,-0.001,0.0,0.004,,0.0,0.0,0.0,"[0.007743999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007743999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007743999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1605614900938903160,,9561,,1605614900,938288847,"""base_gps""",,,,0.0,-0.001,0.004,,0.0,0.0,0.0,"[0.010404000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010404000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010404000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1605614901037759213,,9562,,1605614901,37110052,"""base_gps""",,,,-0.003,0.0,0.003,,0.0,0.0,0.0,"[0.0073960000000000015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0073960000000000015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0073960000000000015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
